book,order,title_eng,title_deu,title_lat
Gen,1,Genesis,Genesis,Genesis
Genesis,1,Genesis,Genesis,Genesis
Ex,2,Exodus,Exodus,Exodus
Exodus,2,Exodus,Exodus,Exodus
Lev,3,Leviticus,Levitikus,Leviticus
Leviticus,3,Leviticus,Levitikus,Leviticus
Numbers,4,Numbers,Numeri,Numeri
Num,4,Numbers,Numeri,Numeri
Numeri,4,Numbers,Numeri,Numeri
Deut,5,Deuteronomy,Deuteronomium,Deuteronomium
Deuteronomium,5,Deuteronomy,Deuteronomium,Deuteronomium
Deuteronomy,5,Deuteronomy,Deuteronomium,Deuteronomium
Jos,6,Joshua,Josua,Josue
Joshua,6,Joshua,Josua,Josue
Josue,6,Joshua,Josua,Josue
Judges,7,Judges,Richter,Iudices
Judg,7,Judges,Richter,Iudices
Ruth,8,Ruth,Rut,Ruth
1 Sam,9,1 Samuel,1. Samuel,1 Samuel
1Sam,9,1 Samuel,1. Samuel,1 Samuel
1 Samuel,9,1 Samuel,1. Samuel,1 Samuel
Sam,9,1 Samuel,1. Samuel,1 Samuel
2 Samuel,10,2 Samuel,2. Samuel,2 Samuel
2Sam,10,2 Samuel,2. Samuel,2 Samuel
2 Sam,10,2 Samuel,2. Samuel,2 Samuel
1 Kings,11,1 Kings,1. Könige,1 Regum
Reg,11,1 Kings,1. Könige,1 Regum
1 Reg,11,1 Kings,1. Könige,1 Regum
1Reg,11,1 Kings,1. Könige,1 Regum
2 Kings,12,2 Kings,2. Könige,2 Regum
2 Reg,12,2 Kings,2. Könige,2 Regum
2Reg,12,2 Kings,2. Könige,2 Regum
3 Reg,13,3 Kings,3. Könige,3 Regum
3Reg,13,3 Kings,3. Könige,3 Regum
4 Kings,14,4 Kings,4. Könige,4 Regum
4Reg,14,4 Kings,4. Könige,4 Regum
4 Reg,14,4 Kings,4. Könige,4 Regum
1 Chronicles,15,1 Chronicles,1. Chronik,1 Paralipomenon
1Par,15,1 Chronicles,1. Chronik,1 Paralipomenon
Par,15,1 Chronicles,1. Chronik,1 Paralipomenon
1 Par,15,1 Chronicles,1. Chronik,1 Paralipomenon
2Par,16,2 Chronicles,2. Chronik,2 Paralipomenon
2 Par,16,2 Chronicles,2. Chronik,2 Paralipomenon
