# Subject,   Day,   Stim,  M,          H
  'A',       2,    1.5,    0.08500644, 0.01767359
  'A',       2,    1.5,    0.10234209, 0.01552049
  'A',       2,    1.5,    0.09332558, 0.01598299
  'A',       2,    1.5,    0.08485967, 0.01398505
  'A',       2,    2.0,    0.02022255, 0.48578171
  'A',       2,    2.0,    0.02855906, 0.53505485
  'A',       2,    2.0,    0.01592280, 0.43340995
  'A',       2,    2.0,    0.02299794, 0.36280531
  'A',       2,    2.5,    0.03831090, 1.13924852
  'A',       2,    2.5,    0.03219202, 1.10165228
  'A',       2,    2.5,    0.03674086, 1.07685922
  'A',       2,    2.5,    0.04323484, 1.20495635
  'A',       2,    3.0,    0.04139385, 1.34049365
  'A',       2,    3.0,    0.05204321, 1.23175667
  'A',       2,    3.0,    0.07902410, 1.23103830
  'A',       2,    3.0,    0.05596397, 1.35943295
  'A',       2,    3.5,    0.21055808, 1.12753404
  'A',       2,    3.5,    0.17597858, 1.28554092
  'A',       2,    3.5,    0.12848524, 1.34135465
  'A',       2,    3.5,    0.17789700, 1.07528606
  'A',       2,    4.0,    0.61577500, 1.00641850
  'A',       2,    4.0,    0.64326953, 0.91826753
  'A',       2,    4.0,    0.59743935, 0.97087034
  'A',       2,    4.0,    0.64392314, 0.96018156
  'A',       2,    4.5,    1.12833358, 0.41644502
  'A',       2,    4.5,    1.16199186, 0.46794489
  'A',       2,    4.5,    1.19544336, 0.46221426
  'A',       2,    4.5,    1.17502275, 0.38462539
  'A',       2,    5.0,    1.33946864, 0.19467619
  'A',       2,    5.0,    1.34440062, 0.35362828
  'A',       2,    5.0,    1.31683792, 0.31916094
  'A',       2,    5.0,    1.36380766, 0.26198519
  'A',       2,    5.5,    1.59460028, 0.31849443
  'A',       2,    5.5,    1.59677516, 0.24725257
  'A',       2,    5.5,    1.57980312, 0.28342838
  'A',       2,    5.5,    1.57114109, 0.26232894
  'A',       2,    6.0,    2.06231868, 0.15174020
  'A',       2,    6.0,    2.13702412, 0.12734167
  'A',       2,    6.0,    2.19502004, 0.18537960
  'A',       2,    6.0,    2.12448094, 0.16670450
  'A',       2,    6.5,    2.57373124, 0.14668167
  'A',       2,    6.5,    2.59356771, 0.15355234
  'A',       2,    6.5,    2.61109088, 0.13601377
  'A',       2,    6.5,    2.57070634, 0.16210056
  'A',       2,    7.0,    2.63458734, 0.13297020
