# Subject,   Day,   Stim,  M,          H
  'A',       1,     1.5,   0.02350739, 0.11530255
  'A',       1,     1.5,   0.03922321, 0.16243452
  'A',       1,     1.5,   0.03941119, 0.10802359
  'A',       1,     1.5,   0.08555273, 0.06658695
  'A',       1,     2.0,   0.05775656, 0.98978544
  'A',       1,     2.0,   0.06808219, 1.12803601
  'A',       1,     2.0,   0.02660534, 1.14003158
  'A',       1,     2.0,   0.07179251, 0.95003516
  'A',       1,     2.5,   0.19483623, 1.53471861
  'A',       1,     2.5,   0.21294353, 1.96180006
  'A',       1,     2.5,   0.12704316, 1.92659622
  'A',       1,     2.5,   0.14917344, 1.68528771
  'A',       1,     3.0,   0.98306232, 1.15177858
  'A',       1,     3.0,   1.00043277, 0.95990721
  'A',       1,     3.0,   1.11288447, 1.04877254
  'A',       1,     3.0,   1.17059673, 0.99326626
  'A',       1,     3.5,   2.12597901, 0.16756234
  'A',       1,     3.5,   2.15171185, 0.21827506
  'A',       1,     3.5,   2.16822630, 0.28302185
  'A',       1,     3.5,   2.11242447, 0.26820448
  'A',       1,     4.0,   2.39190273, 0.14032382
  'A',       1,     4.0,   2.38786047, 0.13580426
  'A',       1,     4.0,   2.39161398, 0.12280434
  'A',       1,     4.0,   2.39465787, 0.13181823
  'A',       1,     4.5,   2.41588519, 0.11602869
  'A',       1,     4.5,   2.46153029, 0.08290430
  'A',       1,     4.5,   2.45397369, 0.14240670
  'A',       1,     4.5,   2.46142425, 0.10614159
  'A',       1,     5.0,   2.45221745, 0.12601447
