o_code,d_code,o_name,d_name,year,item,weight
133,4,Mali,Algeria,2002,camels,41.0
133,4,Mali,Algeria,2003,camels,1425.0
133,4,Mali,Algeria,2004,camels,780.0
133,4,Mali,Algeria,2006,camels,1310.0
133,4,Mali,Algeria,2007,camels,1073.0
256,9,Luxembourg,Argentina,2023,camels,9.0
256,9,Luxembourg,Argentina,2023,camels,0.35
179,7,Qatar,Angola,2015,camels,1.0
179,9,Qatar,Argentina,2015,camels,2.0
179,9,Qatar,Argentina,2015,camels,0.04
133,233,Mali,Burkina Faso,2003,camels,4.0
133,233,Mali,Burkina Faso,2004,camels,348.0
133,233,Mali,Burkina Faso,2016,camels,2542.0
133,233,Mali,Burkina Faso,2017,camels,200.0
133,233,Mali,Burkina Faso,2018,camels,20.0
133,233,Mali,Burkina Faso,2016,camels,762.5
133,233,Mali,Burkina Faso,2017,camels,60.0
133,233,Mali,Burkina Faso,2018,camels,6.0
206,59,Sudan (former),Egypt,2003,camels,34713.0
206,59,Sudan (former),Egypt,2004,camels,35662.0
206,59,Sudan (former),Egypt,2006,camels,6472.0
179,10,Qatar,Australia,2015,camels,5.0
179,10,Qatar,Australia,2015,camels,0.41
276,59,Sudan,Egypt,2016,camels,40924.0
276,59,Sudan,Egypt,2017,camels,223817.0
276,59,Sudan,Egypt,2018,camels,30969.0
276,59,Sudan,Egypt,2016,camels,12277.15
276,59,Sudan,Egypt,2017,camels,26858.0
276,59,Sudan,Egypt,2018,camels,9290.75
272,4,Serbia,Algeria,2015,camels,2.0
272,4,Serbia,Algeria,2015,camels,0.46
68,4,France,Algeria,2014,camels,3.0
68,4,France,Algeria,2014,camels,0.9
133,107,Mali,Côte d'Ivoire,2016,camels,7.0
133,107,Mali,Côte d'Ivoire,2017,camels,8.0
133,107,Mali,Côte d'Ivoire,2019,camels,3.0
133,107,Mali,Côte d'Ivoire,2016,camels,2.0
133,107,Mali,Côte d'Ivoire,2017,camels,2.25
133,107,Mali,Côte d'Ivoire,2019,camels,1.0
221,13,Oman,Bahrain,2006,camels,4.0
221,13,Oman,Bahrain,2019,camels,70.0
221,13,Oman,Bahrain,2019,camels,21.0
206,118,Sudan (former),Kuwait,2003,camels,19.0
206,118,Sudan (former),Kuwait,2004,camels,1.0
206,118,Sudan (former),Kuwait,2005,camels,155.0
206,118,Sudan (former),Kuwait,2006,camels,1.0
256,52,Luxembourg,Azerbaijan,2020,camels,22.0
256,52,Luxembourg,Azerbaijan,2020,camels,1.54
179,13,Qatar,Bahrain,1992,camels,4.0
179,13,Qatar,Bahrain,2004,camels,12.0
179,13,Qatar,Bahrain,2005,camels,7.0
179,13,Qatar,Bahrain,2007,camels,8.0
