o_code,d_code,o_name,d_name,year,item,weight
183,9,Romania,Argentina,2016,skins_rabbit,0.02
15,9,Belgium-Luxembourg,Argentina,1998,skins_rabbit,4.0
9,10,Argentina,Australia,1998,skins_rabbit,1.0
249,72,Yemen,Djibouti,2004,skins_rabbit,18.0
97,10,Hungary,Australia,1996,skins_rabbit,35.0
97,10,Hungary,Australia,1998,skins_rabbit,15.0
7,68,Angola,France,2020,skins_rabbit,0.05
255,9,Belgium,Argentina,2000,skins_rabbit,4.0
119,57,Latvia,Belarus,1994,skins_rabbit,20.0
119,57,Latvia,Belarus,1995,skins_rabbit,3.0
9,255,Argentina,Belgium,2000,skins_rabbit,79.0
9,255,Argentina,Belgium,2001,skins_rabbit,38.0
96,10,"China, Hong Kong SAR",Australia,2001,skins_rabbit,1.0
9,15,Argentina,Belgium-Luxembourg,1993,skins_rabbit,71.0
9,15,Argentina,Belgium-Luxembourg,1994,skins_rabbit,102.0
9,15,Argentina,Belgium-Luxembourg,1995,skins_rabbit,55.0
9,15,Argentina,Belgium-Luxembourg,1996,skins_rabbit,35.0
9,15,Argentina,Belgium-Luxembourg,1997,skins_rabbit,20.0
9,15,Argentina,Belgium-Luxembourg,1998,skins_rabbit,33.0
138,255,Mexico,Belgium,2008,skins_rabbit,15.0
138,255,Mexico,Belgium,2012,skins_rabbit,19.0
138,255,Mexico,Belgium,2014,skins_rabbit,5.93
15,21,Belgium-Luxembourg,Brazil,1988,skins_rabbit,4.0
15,21,Belgium-Luxembourg,Brazil,1989,skins_rabbit,128.0
15,21,Belgium-Luxembourg,Brazil,1990,skins_rabbit,17.0
15,21,Belgium-Luxembourg,Brazil,1991,skins_rabbit,15.0
15,21,Belgium-Luxembourg,Brazil,1992,skins_rabbit,80.0
15,21,Belgium-Luxembourg,Brazil,1993,skins_rabbit,136.0
15,21,Belgium-Luxembourg,Brazil,1994,skins_rabbit,209.0
15,21,Belgium-Luxembourg,Brazil,1995,skins_rabbit,104.0
15,21,Belgium-Luxembourg,Brazil,1996,skins_rabbit,33.0
15,21,Belgium-Luxembourg,Brazil,1997,skins_rabbit,25.0
255,10,Belgium,Australia,2001,skins_rabbit,40.0
234,15,Uruguay,Belgium-Luxembourg,1993,skins_rabbit,140.0
203,9,Spain,Argentina,1991,skins_rabbit,2.0
40,255,Chile,Belgium,2001,skins_rabbit,29.0
15,33,Belgium-Luxembourg,Canada,1991,skins_rabbit,5.0
15,33,Belgium-Luxembourg,Canada,1995,skins_rabbit,21.0
119,33,Latvia,Canada,1994,skins_rabbit,5.0
119,33,Latvia,Canada,1995,skins_rabbit,1.0
119,33,Latvia,Canada,2001,skins_rabbit,2.0
40,15,Chile,Belgium-Luxembourg,1997,skins_rabbit,17.0
40,15,Chile,Belgium-Luxembourg,1998,skins_rabbit,9.0
40,15,Chile,Belgium-Luxembourg,1999,skins_rabbit,7.0
156,10,New Zealand,Australia,1996,skins_rabbit,24.0
156,10,New Zealand,Australia,1997,skins_rabbit,25.0
194,39,Saudi Arabia,Chad,1998,skins_rabbit,3.0
97,11,Hungary,Austria,1996,skins_rabbit,18.0
97,11,Hungary,Austria,2000,skins_rabbit,8.0
97,11,Hungary,Austria,2001,skins_rabbit,11.0
15,96,Belgium-Luxembourg,"China, Hong Kong SAR",1988,skins_rabbit,2.0
15,96,Belgium-Luxembourg,"China, Hong Kong SAR",1989,skins_rabbit,1.0
15,96,Belgium-Luxembourg,"China, Hong Kong SAR",1995,skins_rabbit,14.0
15,96,Belgium-Luxembourg,"China, Hong Kong SAR",1997,skins_rabbit,2.0
68,9,France,Argentina,1988,skins_rabbit,2.0
68,9,France,Argentina,1990,skins_rabbit,20.0
68,9,France,Argentina,1991,skins_rabbit,2.0
68,9,France,Argentina,1993,skins_rabbit,10.0
104,15,Ireland,Belgium-Luxembourg,1989,skins_rabbit,2.0
104,15,Ireland,Belgium-Luxembourg,1990,skins_rabbit,3.0
15,41,Belgium-Luxembourg,"China, mainland",1988,skins_rabbit,43.0
15,41,Belgium-Luxembourg,"China, mainland",1989,skins_rabbit,9.0
15,41,Belgium-Luxembourg,"China, mainland",1995,skins_rabbit,17.0
15,41,Belgium-Luxembourg,"China, mainland",1996,skins_rabbit,77.0
15,41,Belgium-Luxembourg,"China, mainland",1997,skins_rabbit,47.0
15,41,Belgium-Luxembourg,"China, mainland",1998,skins_rabbit,66.0
15,214,Belgium-Luxembourg,"China, Taiwan Province of",1988,skins_rabbit,2.0
15,214,Belgium-Luxembourg,"China, Taiwan Province of",1989,skins_rabbit,9.0
15,214,Belgium-Luxembourg,"China, Taiwan Province of",1990,skins_rabbit,48.0
59,41,Egypt,"China, mainland",2013,skins_rabbit,2.0
15,44,Belgium-Luxembourg,Colombia,1994,skins_rabbit,2.0
15,44,Belgium-Luxembourg,Colombia,1995,skins_rabbit,1.0
11,15,Austria,Belgium-Luxembourg,1989,skins_rabbit,6.0
19,97,Bolivia (Plurinational State of),Hungary,2014,skins_rabbit,0.02
19,97,Bolivia (Plurinational State of),Hungary,2015,skins_rabbit,0.03
156,255,New Zealand,Belgium,2000,skins_rabbit,7.0
15,167,Belgium-Luxembourg,Czechia,1993,skins_rabbit,71.0
15,167,Belgium-Luxembourg,Czechia,1994,skins_rabbit,170.0
15,167,Belgium-Luxembourg,Czechia,1995,skins_rabbit,71.0
15,167,Belgium-Luxembourg,Czechia,1996,skins_rabbit,25.0
15,167,Belgium-Luxembourg,Czechia,1997,skins_rabbit,29.0
15,167,Belgium-Luxembourg,Czechia,1998,skins_rabbit,158.0
15,167,Belgium-Luxembourg,Czechia,1999,skins_rabbit,24.0
150,10,Netherlands (Kingdom of the),Australia,1993,skins_rabbit,33.0
68,10,France,Australia,1996,skins_rabbit,80.0
68,10,France,Australia,1998,skins_rabbit,30.0
68,10,France,Australia,1999,skins_rabbit,100.0
68,10,France,Australia,2000,skins_rabbit,60.0
15,116,Belgium-Luxembourg,Democratic People's Republic of Korea,1988,skins_rabbit,32.0
15,116,Belgium-Luxembourg,Democratic People's Republic of Korea,1989,skins_rabbit,31.0
156,15,New Zealand,Belgium-Luxembourg,1994,skins_rabbit,2.0
156,15,New Zealand,Belgium-Luxembourg,1998,skins_rabbit,40.0
97,255,Hungary,Belgium,2000,skins_rabbit,31.0
97,255,Hungary,Belgium,2001,skins_rabbit,131.0
167,255,Czechia,Belgium,2000,skins_rabbit,200.0
167,255,Czechia,Belgium,2001,skins_rabbit,178.0
226,114,Uganda,Kenya,2004,skins_rabbit,23.0
97,15,Hungary,Belgium-Luxembourg,1993,skins_rabbit,136.0
97,15,Hungary,Belgium-Luxembourg,1994,skins_rabbit,173.0
97,15,Hungary,Belgium-Luxembourg,1995,skins_rabbit,46.0
97,15,Hungary,Belgium-Luxembourg,1996,skins_rabbit,98.0
97,15,Hungary,Belgium-Luxembourg,1997,skins_rabbit,104.0
97,15,Hungary,Belgium-Luxembourg,1998,skins_rabbit,30.0
97,15,Hungary,Belgium-Luxembourg,1999,skins_rabbit,52.0
167,15,Czechia,Belgium-Luxembourg,1995,skins_rabbit,45.0
167,15,Czechia,Belgium-Luxembourg,1997,skins_rabbit,317.0
167,15,Czechia,Belgium-Luxembourg,1998,skins_rabbit,217.0
167,15,Czechia,Belgium-Luxembourg,1999,skins_rabbit,167.0
126,167,Lithuania,Czechia,1994,skins_rabbit,2.0
15,54,Belgium-Luxembourg,Denmark,1992,skins_rabbit,1.0
170,41,Peru,"China, mainland",2022,skins_rabbit,0.04
174,19,Portugal,Bolivia (Plurinational State of),2001,skins_rabbit,10.0
255,21,Belgium,Brazil,2000,skins_rabbit,2.0
41,15,"China, mainland",Belgium-Luxembourg,1998,skins_rabbit,5.0
41,15,"China, mainland",Belgium-Luxembourg,1999,skins_rabbit,4.0
167,21,Czechia,Brazil,1995,skins_rabbit,63.0
97,21,Hungary,Brazil,1994,skins_rabbit,13.0
183,33,Romania,Canada,2016,skins_rabbit,0.02
33,15,Canada,Belgium-Luxembourg,1991,skins_rabbit,7.0
194,84,Saudi Arabia,Greece,1998,skins_rabbit,1.0
150,11,Netherlands (Kingdom of the),Austria,1992,skins_rabbit,3.0
199,167,Slovakia,Czechia,1994,skins_rabbit,262.0
199,167,Slovakia,Czechia,1997,skins_rabbit,2.0
199,167,Slovakia,Czechia,1998,skins_rabbit,3.0
210,96,Sweden,"China, Hong Kong SAR",1988,skins_rabbit,1.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1992,skins_rabbit,9.0
214,96,"China, Taiwan Province of","China, Hong Kong SAR",1994,skins_rabbit,2.0
54,33,Denmark,Canada,1993,skins_rabbit,3.0
15,68,Belgium-Luxembourg,France,1988,skins_rabbit,132.0
15,68,Belgium-Luxembourg,France,1989,skins_rabbit,120.0
15,68,Belgium-Luxembourg,France,1990,skins_rabbit,148.0
15,68,Belgium-Luxembourg,France,1991,skins_rabbit,110.0
15,68,Belgium-Luxembourg,France,1992,skins_rabbit,261.0
15,68,Belgium-Luxembourg,France,1993,skins_rabbit,111.0
15,68,Belgium-Luxembourg,France,1994,skins_rabbit,162.0
15,68,Belgium-Luxembourg,France,1995,skins_rabbit,122.0
15,68,Belgium-Luxembourg,France,1996,skins_rabbit,111.0
15,68,Belgium-Luxembourg,France,1997,skins_rabbit,40.0
15,68,Belgium-Luxembourg,France,1998,skins_rabbit,48.0
15,68,Belgium-Luxembourg,France,1999,skins_rabbit,53.0
167,41,Czechia,"China, mainland",1995,skins_rabbit,15.0
203,255,Spain,Belgium,2000,skins_rabbit,60.0
203,255,Spain,Belgium,2001,skins_rabbit,67.0
54,96,Denmark,"China, Hong Kong SAR",2001,skins_rabbit,1.0
119,68,Latvia,France,1994,skins_rabbit,5.0
117,41,Republic of Korea,"China, mainland",1995,skins_rabbit,8.0
117,41,Republic of Korea,"China, mainland",1996,skins_rabbit,4.0
117,41,Republic of Korea,"China, mainland",2001,skins_rabbit,10.0
255,33,Belgium,Canada,2000,skins_rabbit,2.0
234,150,Uruguay,Netherlands (Kingdom of the),1993,skins_rabbit,160.0
9,167,Argentina,Czechia,1997,skins_rabbit,36.0
9,167,Argentina,Czechia,1998,skins_rabbit,34.0
9,167,Argentina,Czechia,2000,skins_rabbit,47.0
9,167,Argentina,Czechia,2001,skins_rabbit,62.0
174,33,Portugal,Canada,1995,skins_rabbit,3.0
174,33,Portugal,Canada,2001,skins_rabbit,6.0
229,255,United Kingdom of Great Britain and Northern Ireland,Belgium,2000,skins_rabbit,3.0
203,15,Spain,Belgium-Luxembourg,1988,skins_rabbit,35.0
15,79,Belgium-Luxembourg,Germany,1991,skins_rabbit,1.0
15,79,Belgium-Luxembourg,Germany,1993,skins_rabbit,2.0
15,79,Belgium-Luxembourg,Germany,1995,skins_rabbit,2.0
15,79,Belgium-Luxembourg,Germany,1996,skins_rabbit,35.0
15,79,Belgium-Luxembourg,Germany,1997,skins_rabbit,1.0
131,128,Malaysia,"China, Macao SAR",2002,skins_rabbit,1.0
255,96,Belgium,"China, Hong Kong SAR",2000,skins_rabbit,20.0
167,167,Czechia,Czechia,1997,skins_rabbit,1.0
96,41,"China, Hong Kong SAR","China, mainland",1994,skins_rabbit,5.0
96,41,"China, Hong Kong SAR","China, mainland",1995,skins_rabbit,5.0
96,41,"China, Hong Kong SAR","China, mainland",1996,skins_rabbit,9.0
96,41,"China, Hong Kong SAR","China, mainland",1997,skins_rabbit,5.0
96,41,"China, Hong Kong SAR","China, mainland",1998,skins_rabbit,2.0
96,41,"China, Hong Kong SAR","China, mainland",1999,skins_rabbit,5.0
96,41,"China, Hong Kong SAR","China, mainland",2000,skins_rabbit,9.0
96,41,"China, Hong Kong SAR","China, mainland",2001,skins_rabbit,10.0
198,167,Slovenia,Czechia,2000,skins_rabbit,77.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1988,skins_rabbit,15.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1989,skins_rabbit,7.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1990,skins_rabbit,21.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1991,skins_rabbit,12.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1992,skins_rabbit,3.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1993,skins_rabbit,1.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1995,skins_rabbit,4.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1996,skins_rabbit,1.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1997,skins_rabbit,1.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1998,skins_rabbit,3.0
229,15,United Kingdom of Great Britain and Northern Ireland,Belgium-Luxembourg,1999,skins_rabbit,2.0
255,41,Belgium,"China, mainland",2000,skins_rabbit,163.0
255,41,Belgium,"China, mainland",2001,skins_rabbit,299.0
15,97,Belgium-Luxembourg,Hungary,1988,skins_rabbit,6.0
15,97,Belgium-Luxembourg,Hungary,1989,skins_rabbit,40.0
15,97,Belgium-Luxembourg,Hungary,1990,skins_rabbit,20.0
15,97,Belgium-Luxembourg,Hungary,1991,skins_rabbit,229.0
15,97,Belgium-Luxembourg,Hungary,1992,skins_rabbit,276.0
15,97,Belgium-Luxembourg,Hungary,1993,skins_rabbit,108.0
15,97,Belgium-Luxembourg,Hungary,1994,skins_rabbit,192.0
15,97,Belgium-Luxembourg,Hungary,1995,skins_rabbit,109.0
15,97,Belgium-Luxembourg,Hungary,1996,skins_rabbit,36.0
15,97,Belgium-Luxembourg,Hungary,1997,skins_rabbit,107.0
15,97,Belgium-Luxembourg,Hungary,1998,skins_rabbit,93.0
15,97,Belgium-Luxembourg,Hungary,1999,skins_rabbit,177.0
9,68,Argentina,France,1993,skins_rabbit,15.0
9,68,Argentina,France,1994,skins_rabbit,30.0
174,44,Portugal,Colombia,1995,skins_rabbit,2.0
15,100,Belgium-Luxembourg,India,1994,skins_rabbit,43.0
15,100,Belgium-Luxembourg,India,1995,skins_rabbit,13.0
15,100,Belgium-Luxembourg,India,1996,skins_rabbit,14.0
15,100,Belgium-Luxembourg,India,1997,skins_rabbit,68.0
15,100,Belgium-Luxembourg,India,1998,skins_rabbit,30.0
15,100,Belgium-Luxembourg,India,1999,skins_rabbit,32.0
170,106,Peru,Italy,2005,skins_rabbit,2.0
170,106,Peru,Italy,2016,skins_rabbit,0.09
203,21,Spain,Brazil,1988,skins_rabbit,8.0
203,21,Spain,Brazil,1990,skins_rabbit,8.0
68,255,France,Belgium,2000,skins_rabbit,569.0
68,255,France,Belgium,2001,skins_rabbit,506.0
97,167,Hungary,Czechia,1995,skins_rabbit,15.0
97,167,Hungary,Czechia,1997,skins_rabbit,36.0
97,167,Hungary,Czechia,1998,skins_rabbit,35.0
97,167,Hungary,Czechia,1999,skins_rabbit,31.0
97,167,Hungary,Czechia,2001,skins_rabbit,22.0
40,79,Chile,Germany,2000,skins_rabbit,5.0
15,104,Belgium-Luxembourg,Ireland,1991,skins_rabbit,1.0
9,79,Argentina,Germany,1993,skins_rabbit,54.0
9,79,Argentina,Germany,1996,skins_rabbit,20.0
9,79,Argentina,Germany,1997,skins_rabbit,54.0
9,79,Argentina,Germany,1998,skins_rabbit,16.0
9,79,Argentina,Germany,2000,skins_rabbit,31.0
9,79,Argentina,Germany,2001,skins_rabbit,10.0
106,255,Italy,Belgium,2000,skins_rabbit,8.0
41,96,"China, mainland","China, Hong Kong SAR",1992,skins_rabbit,16.0
