o_code,d_code,o_name,d_name,year,item,weight
143,3,Morocco,Albania,2023,peppermint_spearmint,9.1
28,10,Myanmar,Australia,2020,peppermint_spearmint,23.0
143,4,Morocco,Algeria,2018,peppermint_spearmint,37.41
143,4,Morocco,Algeria,2019,peppermint_spearmint,23.57
143,4,Morocco,Algeria,2020,peppermint_spearmint,7.2
143,4,Morocco,Algeria,2021,peppermint_spearmint,55.14
143,4,Morocco,Algeria,2022,peppermint_spearmint,154.38
143,4,Morocco,Algeria,2023,peppermint_spearmint,39.02
28,16,Myanmar,Bangladesh,2016,peppermint_spearmint,194.0
28,16,Myanmar,Bangladesh,2017,peppermint_spearmint,56.5
28,16,Myanmar,Bangladesh,2018,peppermint_spearmint,249.09
28,16,Myanmar,Bangladesh,2019,peppermint_spearmint,57.0
28,16,Myanmar,Bangladesh,2020,peppermint_spearmint,102.97
28,16,Myanmar,Bangladesh,2021,peppermint_spearmint,73.0
28,16,Myanmar,Bangladesh,2022,peppermint_spearmint,409.8
28,16,Myanmar,Bangladesh,2023,peppermint_spearmint,48.0
154,3,North Macedonia,Albania,1999,peppermint_spearmint,32.0
154,3,North Macedonia,Albania,2000,peppermint_spearmint,27.0
154,3,North Macedonia,Albania,2001,peppermint_spearmint,17.0
28,96,Myanmar,"China, Hong Kong SAR",2022,peppermint_spearmint,7.92
7,49,Angola,Cuba,2021,peppermint_spearmint,0.06
59,10,Egypt,Australia,1986,peppermint_spearmint,1.0
59,10,Egypt,Australia,1988,peppermint_spearmint,6.0
59,10,Egypt,Australia,1989,peppermint_spearmint,17.0
59,10,Egypt,Australia,1991,peppermint_spearmint,17.0
59,10,Egypt,Australia,1992,peppermint_spearmint,17.0
59,10,Egypt,Australia,1993,peppermint_spearmint,27.0
7,250,Angola,Democratic Republic of the Congo,2020,peppermint_spearmint,0.01
7,250,Angola,Democratic Republic of the Congo,2021,peppermint_spearmint,0.1
7,250,Angola,Democratic Republic of the Congo,2022,peppermint_spearmint,0.3
154,10,North Macedonia,Australia,1999,peppermint_spearmint,1.0
154,10,North Macedonia,Australia,2001,peppermint_spearmint,21.0
28,41,Myanmar,"China, mainland",2016,peppermint_spearmint,6405.84
28,41,Myanmar,"China, mainland",2017,peppermint_spearmint,8404.42
28,41,Myanmar,"China, mainland",2018,peppermint_spearmint,7282.22
28,41,Myanmar,"China, mainland",2019,peppermint_spearmint,19371.3
28,41,Myanmar,"China, mainland",2020,peppermint_spearmint,25546.15
28,41,Myanmar,"China, mainland",2021,peppermint_spearmint,11033.17
28,41,Myanmar,"China, mainland",2022,peppermint_spearmint,27778.74
28,41,Myanmar,"China, mainland",2023,peppermint_spearmint,20802.94
191,33,Saint Vincent and the Grenadines,Canada,2015,peppermint_spearmint,0.01
7,68,Angola,France,2020,peppermint_spearmint,0.02
7,68,Angola,France,2021,peppermint_spearmint,0.01
7,68,Angola,France,2022,peppermint_spearmint,0.08
28,214,Myanmar,"China, Taiwan Province of",2017,peppermint_spearmint,0.83
28,214,Myanmar,"China, Taiwan Province of",2019,peppermint_spearmint,2.1
28,214,Myanmar,"China, Taiwan Province of",2020,peppermint_spearmint,4.86
28,214,Myanmar,"China, Taiwan Province of",2022,peppermint_spearmint,35.75
7,79,Angola,Germany,2022,peppermint_spearmint,0.01
59,11,Egypt,Austria,1990,peppermint_spearmint,2.0
59,11,Egypt,Austria,1992,peppermint_spearmint,4.0
7,99,Angola,Iceland,2021,peppermint_spearmint,0.01
28,116,Myanmar,Democratic People's Republic of Korea,2016,peppermint_spearmint,6.99
154,11,North Macedonia,Austria,1999,peppermint_spearmint,3.0
154,11,North Macedonia,Austria,2000,peppermint_spearmint,10.0
154,11,North Macedonia,Austria,2001,peppermint_spearmint,3.0
143,255,Morocco,Belgium,2021,peppermint_spearmint,0.7
28,79,Myanmar,Germany,2018,peppermint_spearmint,0.47
154,52,North Macedonia,Azerbaijan,1999,peppermint_spearmint,1.0
28,100,Myanmar,India,2016,peppermint_spearmint,73.0
28,100,Myanmar,India,2017,peppermint_spearmint,71.0
28,100,Myanmar,India,2018,peppermint_spearmint,25.54
28,100,Myanmar,India,2019,peppermint_spearmint,313.75
28,100,Myanmar,India,2020,peppermint_spearmint,764.44
28,100,Myanmar,India,2021,peppermint_spearmint,392.04
28,100,Myanmar,India,2022,peppermint_spearmint,341.27
28,100,Myanmar,India,2023,peppermint_spearmint,311.1
154,255,North Macedonia,Belgium,2001,peppermint_spearmint,7.0
7,147,Angola,Namibia,2019,peppermint_spearmint,0.19
143,53,Morocco,Benin,2019,peppermint_spearmint,17.7
143,21,Morocco,Brazil,2019,peppermint_spearmint,25.84
143,21,Morocco,Brazil,2021,peppermint_spearmint,36.0
28,110,Myanmar,Japan,2016,peppermint_spearmint,14.0
28,110,Myanmar,Japan,2017,peppermint_spearmint,2.15
28,110,Myanmar,Japan,2018,peppermint_spearmint,0.01
28,110,Myanmar,Japan,2019,peppermint_spearmint,0.73
28,110,Myanmar,Japan,2020,peppermint_spearmint,1.3
28,110,Myanmar,Japan,2021,peppermint_spearmint,8.12
28,110,Myanmar,Japan,2022,peppermint_spearmint,49.94
28,110,Myanmar,Japan,2023,peppermint_spearmint,3.96
