mi;mj;Oi;Dj
11012;11012;3075;814
119341;119341;41602;15422
110765;110765;13072;10194
9931;9931;2277;1238
41589;41589;11172;7112
11426;11426;3213;882
12684;12684;1458;1419
17266;17266;1999;1657
8575;8575;1144;755
8560;8560;1645;942
23639;23639;8068;1080
15912;15912;4527;1899
7241;7241;1938;573
44874;44874;2940;3689
24757;24757;9758;1402
61610;61610;5423;6749
8348;8348;1974;298
10304;10304;3772;264
92115;92115;3506;9758
21016;21016;4912;2269
21231;21231;3430;2918
10847;10847;2289;710
14074;14074;1955;1629
25730;25730;8825;1688
7144;7144;1579;787
22534;22534;4779;2404
6383;6383;1306;477
23932;23932;3163;2584
21757;21757;6195;2375
8270;8270;2374;556
15457;15457;2708;4090
36506;36506;9505;5653
186291;186291;11019;29625
62001;62001;17005;8506
26225;26225;9267;3327
12635;12635;4633;569
81678;81678;30736;4803
23668;23668;5594;4416
22983;22983;5795;3173
15636;15636;3860;1083
13688;13688;4644;885
38127;38127;6970;3055
9588;9588;1653;1152
18812;18812;3576;2034
2598;2598;689;171
15050;15050;1159;1710
7791;7791;836;678
199775;199775;17077;41553
70111;70111;18496;17146
3766;3766;937;574
15374;15374;2283;691
9369;9369;1642;730
58417;58417;11210;9051
25435;25435;2750;2354
5252;5252;927;623
33200;33200;2311;3431
6498;6498;1882;360
2077;2077;526;96
22305;22305;3176;2245
8815;8815;1435;621
11794;11794;1382;2217
10970;10970;1871;818
42737;42737;2466;4957
38407;38407;2621;6728
26067;26067;2742;3549
9319;9319;1539;1148
6854;6854;1202;235
58779;58779;4265;9685
9504;9504;1472;778
10590;10590;3067;887
17289;17289;2199;1355
27597;27597;3023;1605
61053;61053;15966;6579
60687;60687;17802;4814
35483;35483;2538;5413
6336;6336;1303;837
21176;21176;1611;3778
26565;26565;2540;1708
2390;2390;628;190
6179;6179;1221;457
19944;19944;4512;2244
83525;83525;5106;22915
8577;8577;1508;424
10687;10687;993;1075
10220;10220;2127;1536
21967;21967;5674;1250
300904;300904;10542;26008
3476;3476;347;182
75565;75565;4539;2648
6411;6411;620;94
9171;9171;551;564
41735;41735;5756;2707
18991;18991;390;1449
6670;6670;1767;611
36835;36835;2581;1261
82522;82522;3793;9632
9871;9871;517;480
2899;2899;238;1095
991;991;197;32
131441;131441;20184;10355
7304;7304;322;938
21416;21416;2348;3038
1022;1022;93;90
8930;8930;476;509
4342;4342;307;118
29130;29130;2073;994
11329;11329;1986;319
11819;11819;2382;605
15181;15181;2762;525
14155;14155;1825;1128
15511;15511;902;481
19155;19155;4328;1684
18342;18342;3365;2418
108685;108685;10554;4250
34935;34935;3588;1622
7806;7806;98;100
3747;3747;563;567
4044;4044;822;280
27467;27467;2098;2913
20174;20174;3003;2116
37410;37410;2452;6450
4125;4125;608;110
10644;10644;2199;849
20578;20578;4266;1647
7538;7538;979;1647
13771;13771;958;594
5999;5999;1190;233
64284;64284;3240;4500
7651;7651;402;372
9977;9977;1133;475
68277;68277;2438;5116
9590;9590;1632;1524
17633;17633;3484;1304
41786;41786;12282;6231
6950;6950;768;1295
35503;35503;6492;2772
5084;5084;1193;216
16674;16674;2842;1074
13695;13695;2320;1879
179669;179669;4920;14312
35372;35372;6332;2488
17008;17008;3179;1652
14560;14560;1593;1755
35535;35535;8514;4038
53196;53196;3862;6947
5376741;5376741;292145;476266
20452;20452;1430;1709
11253;11253;3543;822
88969;88969;15981;8829
16798;16798;3723;2046
19922;19922;3753;2626
904161;904161;191263;256617
19704;19704;2630;1573
6971;6971;1152;1514
34264;34264;1721;5900
21802;21802;2773;1807
14241;14241;2871;1920
39018;39018;6483;2656
38250;38250;6740;1508
6445;6445;1359;736
14761;14761;3110;565
37535;37535;9362;5888
8621;8621;1851;400
20121;20121;4214;1425
4800;4800;631;235
8213;8213;2656;324
51020;51020;10540;2881
31334;31334;5518;1393
59612;59612;4947;8314
10117;10117;1813;883
40045;40045;3124;6172
21668;21668;5750;1643
22289;22289;4383;2333
12878;12878;2309;1086
404119;404119;84966;67543
103833;103833;10316;6509
54544;54544;19566;9152
55836;55836;3729;5229
644356;644356;104843;113694
111509;111509;13389;9091
15452;15452;2518;1302
36062;36062;5879;4786
39678;39678;4358;4071
31183;31183;4100;2624
32913;32913;1885;2824
260077;260077;65132;28534
150433;150433;6647;14801
114706;114706;4711;9862
49019;49019;11104;2545
258941;258941;46350;27477
41691;41691;4453;4986
13180;13180;3323;1072
16038;16038;3563;1114
15161;15161;2807;2033
12486;12486;4304;706
16957;16957;4686;576
27619;27619;9015;2168
30652;30652;3933;3170
36616;36616;3640;5388
14287;14287;3233;2091
51032;51032;10498;5332
183433;183433;12807;37425
23094;23094;3653;2253
16365;16365;4915;1123
17384;17384;2625;811
4413;4413;1103;344
7348;7348;1528;942
6086;6086;1664;1249
33893;33893;4211;5204
16149;16149;1329;1947
149374;149374;17041;28119
256082;256082;43057;25782
26733;26733;2619;2293
188951;188951;5136;20729
7189;7189;1663;379
5537;5537;1645;631
22893;22893;5214;1316
6332;6332;1527;572
48979;48979;4739;3848
128485;128485;27881;16220
18293;18293;2708;1404
83919;83919;4904;4448
12937;12937;2336;1077
18735;18735;3658;1517
15148;15148;3144;2169
17151;17151;2543;716
15371;15371;2400;1377
60653;60653;7592;4282
502266;502266;134360;53377
61296;61296;8603;6555
278418;278418;17385;23281
35469;35469;9826;3011
33625;33625;4572;4722
331849;331849;14542;30290
71435;71435;5106;12632
9421;9421;2316;718
14048;14048;2915;1529
46107;46107;12696;5482
14957;14957;4545;760
20165;20165;5336;1430
40930;40930;5072;2969
96472;96472;23634;21486
26556;26556;6127;2220
33866;33866;5584;2424
10743;10743;2861;692
29820;29820;4030;1706
46109;46109;13203;5400
24555;24555;3099;3943
40285;40285;6692;10146
118769;118769;9268;10254
39674;39674;1904;9648
182791;182791;9785;35335
25588;25588;3464;2768
70823;70823;20444;13058
17954;17954;3765;2156
22151;22151;6889;2070
20511;20511;3559;1697
32500;32500;6038;4524
73403;73403;5438;5705
33157;33157;7669;1979
182740;182740;51199;41736
55391;55391;18032;6988
34325;34325;9836;4044
104093;104093;33451;13481
48508;48508;8964;3109
84964;84964;4211;14409
38075;38075;6998;4381
41335;41335;4544;5377
30043;30043;5580;3088
21806;21806;3896;2245
31705;31705;3255;2914
27554;27554;5737;2054
115209;115209;34202;15894
39256;39256;2923;3416
74057;74057;9305;6983
34909;34909;6011;5065
484564;484564;58288;42254
110106;110106;13034;10700
45922;45922;7188;2604
133358;133358;19371;9807
860454;860454;56109;177051
45128;45128;6832;6436
10369;10369;2077;4472
36082;36082;6701;2691
120563;120563;6530;14717
37629;37629;3589;3713
66689;66689;20048;4363
14566;14566;3854;1493
46275;46275;8711;7106
5623;5623;1852;1051
19306;19306;3074;1794
21786;21786;6266;1378
17241;17241;3739;980
18899;18899;3424;1524
12837;12837;3244;1128
146798;146798;31689;15410
27061;27061;6531;2861
13755;13755;2413;1230
36019;36019;5936;4365
27401;27401;5641;1760
26523;26523;5761;4757
18261;18261;4335;1882
265559;265559;21181;25354
22960;22960;4450;1808
43445;43445;8949;5711
20391;20391;5280;3279
23556;23556;5160;1395
33214;33214;5005;5372
21751;21751;4301;1828
9065;9065;2491;486
148955;148955;5585;16951
16577;16577;4532;1443
7349;7349;2165;656
171922;171922;8535;33577
16788;16788;3956;2409
105848;105848;4909;13930
34960;34960;4459;2956
8419;8419;2838;505
52383;52383;16855;5460
27223;27223;6214;1140
71097;71097;4488;6520
27600;27600;5632;4176
25267;25267;4452;2844
30707;30707;7640;4434
8243;8243;1422;624
4482;4482;698;349
14675;14675;1748;1172
13721;13721;1170;994
6830;6830;949;374
25308;25308;7306;1365
128012;128012;4137;12139
26224;26224;5652;2492
23325;23325;4357;3146
21093;21093;3885;1562
20411;20411;1395;1679
15305;15305;3747;735
11115;11115;1736;722
21421;21421;1032;1940
14684;14684;1404;1054
18187;18187;5474;1813
46447;46447;2072;4710
13035;13035;1087;984
13095;13095;1740;935
9133;9133;1044;1687
17372;17372;1176;2164
18678;18678;2674;1609
50149;50149;5464;4300
16942;16942;1355;1155
40750;40750;13595;7756
8541;8541;1483;547
8689;8689;1286;640
18404;18404;3195;1048
42351;42351;2159;5739
16424;16424;1614;2068
89143;89143;2778;9944
11027;11027;1446;829
22008;22008;2656;1690
16900;16900;2359;1224
10704;10704;1652;928
8010;8010;1743;1246
10366;10366;1311;575
12369;12369;2776;934
11353;11353;2639;770
16438;16438;2090;2608
12100;12100;2106;1587
18812;18812;1917;1834
15666;15666;3344;734
20336;20336;2000;3438
9932;9932;1118;1346
10381;10381;1342;886
7837;7837;730;962
15671;15671;2553;3737
20296;20296;3699;1161
37213;37213;5607;2647
16181;16181;1094;2220
111006;111006;8864;15679
20221;20221;3974;1783
11400;11400;2597;537
17163;17163;1571;798
38052;38052;3153;5198
191701;191701;8372;20867
12183;12183;3057;1102
9422;9422;1171;753
11763;11763;2199;605
14019;14019;3687;913
22335;22335;4045;1757
32052;32052;3318;5686
39311;39311;3072;2982
14547;14547;3649;957
10874;10874;1349;691
10020;10020;1398;730
8016;8016;1488;1061
11771;11771;1028;1169
41722;41722;3996;6239
15102;15102;1946;1218
7003;7003;1072;528
16976;16976;1594;1942
10147;10147;1199;781
24849;24849;4296;1980
8662;8662;1067;584
374601;374601;11618;47595
87704;87704;19531;10413
18815;18815;1802;2280
5469;5469;628;288
11529;11529;1740;600
158668;158668;18447;22080
13173;13173;1691;975
31589;31589;1736;2993
79981;79981;7160;8331
18103;18103;3232;1328
6958;6958;1314;483
12309;12309;877;1556
7809;7809;1459;623
36051;36051;2817;3139
40671;40671;14232;2002
20670;20670;4044;1566
6730;6730;1014;447
40235;40235;2488;4061
11723;11723;1276;3030
21310;21310;1678;1671
103877;103877;10936;11018
7909;7909;2187;471
14334;14334;1480;1403
14385;14385;1365;1406
8110;8110;1458;363
16774;16774;1738;1947
5307;5307;355;289
28205;28205;1211;1362
15379;15379;1058;1334
10724;10724;1315;1268
59482;59482;14337;3641
3030;3030;701;93
4359;4359;587;215
22605;22605;4573;2067
3165;3165;197;101
2390;2390;250;195
8822;8822;1198;434
10268;10268;688;589
8865;8865;950;1174
1967;1967;134;115
36291;36291;2815;1644
38242;38242;2279;2977
3472;3472;239;178
19344;19344;2966;1317
8249;8249;1913;1361
99962;99962;13051;7887
3449;3449;387;220
3261;3261;511;208
27507;27507;1057;1184
6525;6525;651;598
40523;40523;847;1708
32458;32458;890;1598
24784;24784;4871;2581
27947;27947;5391;3536
3068;3068;251;330
2946;2946;253;140
7909;7909;419;476
5904;5904;777;526
1534;1534;66;110
7673;7673;1153;495
2670;2670;108;156
6536;6536;619;354
32869;32869;5169;3111
4307;4307;431;283
2085;2085;216;144
12657;12657;2868;1426
18426;18426;5981;982
3791;3791;488;171
451086;451086;77860;99439
4531;4531;573;368
8673;8673;1405;641
3278;3278;274;239
22835;22835;1651;1557
2155;2155;120;117
68691;68691;12065;4869
3578;3578;477;126
9570;9570;2223;634
3046;3046;355;286
35935;35935;1758;2178
29554;29554;2275;2561
13361;13361;2001;625
10965;10965;658;752
4631;4631;520;179
28351;28351;8380;2294
6932;6932;308;600
36252;36252;1751;3418
6104;6104;878;380
3496;3496;247;428
10717;10717;887;1146
16997;16997;1602;2143
3454;3454;164;203
5953;5953;264;425
16712;16712;4887;491
4452;4452;317;326
6163;6163;1540;276
7233;7233;533;575
6001;6001;340;462
18209;18209;4169;3060
9647;9647;595;676
2966;2966;184;114
64790;64790;3448;2916
5835;5835;425;363
10761;10761;1354;591
62843;62843;6382;9443
5685;5685;473;327
3551;3551;479;199
7370;7370;477;598
53597;53597;1448;4651
5120;5120;305;257
452869;452869;7587;29474
22510;22510;876;2310
169871;169871;5597;17723
2813;2813;237;133
6760;6760;312;232
4536;4536;321;163
4789;4789;568;307
2406;2406;206;397
5463;5463;434;406
25946;25946;4836;1275
8180;8180;382;572
3319;3319;365;191
6885;6885;2211;331
1749;1749;100;111
6483;6483;873;395
2531;2531;140;181
10332;10332;1018;897
3788;3788;631;241
157882;157882;34745;44109
17244;17244;2722;931
17800;17800;3375;1228
19111;19111;5992;1276
8286;8286;1783;1226
38033;38033;3416;5107
11085;11085;2541;665
30060;30060;1731;2735
85991;85991;20910;40383
19360;19360;4339;2604
49752;49752;5282;11892
27697;27697;3241;8309
8279;8279;2548;359
16100;16100;1587;801
18648;18648;3942;552
61236;61236;22213;4197
13010;13010;2297;1147
13060;13060;2095;1017
34177;34177;2716;3212
88616;88616;27330;11435
5351;5351;1362;226
10155;10155;991;3335
26889;26889;4617;1498
15447;15447;2784;627
72265;72265;4041;21611
33144;33144;6987;5805
24556;24556;2283;1286
9634;9634;999;1213
9384;9384;1661;525
7147;7147;764;399
91545;91545;5822;6946
11644;11644;3009;349
6748;6748;1358;148
15307;15307;3043;542
260512;260512;19168;49544
13792;13792;2193;719
42441;42441;3841;3335
47687;47687;4495;13585
7752;7752;1119;1801
7870;7870;2270;1120
14792;14792;4571;1026
22384;22384;6081;1749
37028;37028;5266;3345
24053;24053;2593;1846
11518;11518;2229;317
36891;36891;7861;3639
8392;8392;1552;3007
94174;94174;8743;11561
33202;33202;1159;1181
17983;17983;3351;1193
17445;17445;2794;1226
44829;44829;5480;6155
15060;15060;4154;1131
5262;5262;1121;582
46519;46519;4005;3510
13495;13495;1786;773
693604;693604;25363;100910
39041;39041;10164;6013
23445;23445;2622;1547
151464;151464;45379;28945
17649;17649;2259;1086
31795;31795;3542;2574
13373;13373;3377;785
52715;52715;4894;5701
15569;15569;2416;1047
7916;7916;908;435
12401;12401;1357;415
25277;25277;2090;1090
14092;14092;2788;402
23361;23361;5824;1203
9804;9804;2704;1355
26573;26573;3291;2444
8080;8080;1392;921
65514;65514;4684;13626
17080;17080;1955;565
9938;9938;2586;546
70872;70872;10433;7420
13332;13332;1562;433
18212;18212;2487;1472
30125;30125;5201;3644
12578;12578;1009;1101
16800;16800;1582;4456
26349;26349;7513;1465
6556;6556;1244;212
20817;20817;4375;2964
10037;10037;1888;864
11756;11756;1266;715
22554;22554;3640;3975
13948;13948;1475;691
31839;31839;3202;1680
37477;37477;6405;2567
6813;6813;1888;426
22916;22916;3940;1303
46178;46178;14501;6060
10547;10547;2640;328
4858;4858;588;193
14390;14390;3985;935
29390;29390;965;3975
68736;68736;3145;5936
13237;13237;2654;859
56217;56217;2595;4333
2266;2266;564;73
16582;16582;3111;843
22094;22094;2197;3048
16315;16315;1598;1272
33061;33061;6388;13405
33337;33337;7412;5467
16405;16405;2353;3177
11766;11766;4593;449
22927;22927;2281;2294
11971;11971;2363;792
12597;12597;2090;914
8125;8125;2831;294
15637;15637;2117;1717
92522;92522;5077;10855
10916;10916;2043;1297
19923;19923;1623;976
14120;14120;3159;1813
35865;35865;3743;4351
7065;7065;1133;570
23208;23208;6768;5300
58861;58861;9078;3350
25440;25440;2370;3198
76627;76627;16836;12643
23388;23388;5507;788
41481;41481;4043;1367
32986;32986;5250;2775
15752;15752;2783;1549
98310;98310;20439;18429
252161;252161;17475;30471
183577;183577;4847;11207
10560;10560;1641;513
9991;9991;1666;2185
10920;10920;1395;659
16851;16851;1981;1040
20247;20247;2837;1227
25494;25494;4816;1983
412852;412852;21627;57848
9421;9421;701;440
21360;21360;4119;1832
35434;35434;3869;1525
21263;21263;1908;727
18698;18698;4644;725
73266;73266;7276;8177
33320;33320;5042;8296
15397;15397;3077;1036
455466;455466;73561;78151
31435;31435;5094;2007
190503;190503;11682;31673
89974;89974;12584;7024
14282;14282;1527;812
42509;42509;3335;4948
91814;91814;27756;4102
13728;13728;1276;967
31021;31021;3565;1646
39080;39080;2487;2338
484674;484674;41091;103729
147250;147250;4669;11803
26757;26757;3662;10453
22763;22763;3990;962
126337;126337;4312;9155
9622;9622;1177;716
20981;20981;3132;1460
23459;23459;2490;900
67229;67229;16836;5036
48072;48072;11513;16592
10525;10525;2432;522
21216;21216;3581;5273
43044;43044;30132;4914
87700;87700;11035;4766
48583;48583;10782;3264
53500;53500;2461;7980
191268;191268;34269;12155
100588;100588;12365;6668
6618;6618;528;353
104503;104503;6798;10823
22803;22803;4714;1469
53807;53807;8179;3082
52531;52531;4130;2811
43926;43926;4493;1856
41831;41831;5739;2920
21601;21601;5797;6024
12314;12314;1602;576
15111;15111;1784;3136
16894;16894;1389;1063
103793;103793;13178;10374
73938;73938;1164;592
265612;265612;15403;43513
29467;29467;2845;2598
51791;51791;3183;2922
117114;117114;11017;12499
39618;39618;2592;3799
33616;33616;5545;2419
54755;54755;8175;3508
144919;144919;5751;9312
17235;17235;1748;1230
35214;35214;9357;8674
50888;50888;7808;4925
36280;36280;6653;2573
33941;33941;1116;776
186742;186742;38546;9781
74930;74930;4410;8639
489656;489656;111569;81061
754292;754292;176475;144756
74563;74563;22746;4915
29772;29772;7872;2908
150897;150897;42764;13820
85951;85951;23600;7738
120546;120546;36853;11420
30674;30674;4593;2995
195277;195277;41978;24450
29846;29846;3502;2420
218590;218590;53616;17780
247842;247842;83621;68738
19197;19197;2523;2715
873341;873341;187578;153727
801515;801515;241489;139567
40563;40563;12454;4553
86211;86211;11052;8045
24747;24747;3837;2342
33812;33812;3834;7461
131923;131923;16371;20451
84644;84644;9045;10702
46543;46543;5714;7546
651154;651154;94862;187535
222230;222230;14404;7836
134953;134953;4656;6578
534678;534678;92370;55095
14987;14987;314;532
723419;723419;117709;78840
71535;71535;13876;6095
456228;456228;36613;33690
152251;152251;29715;20326
1465396;1465396;238251;304296
9520;9520;79;645
650308;650308;176268;168130
472822;472822;111454;45383
689807;689807;104678;329515
750963;750963;93351;54154
11719;11719;1916;427
9862;9862;604;705
105665;105665;25681;19278
31314;31314;992;2185
23110;23110;4065;2838
17269;17269;2756;1676
8746;8746;414;870
56755;56755;15948;3405
110157;110157;17811;10143
