mi;mj;Oi;Dj
43671;43671;11921;3748
140415;140415;16977;6990
29038;29038;1651;3090
20826;20826;4676;1099
51024;51024;13289;2317
11714;11714;1145;1336
21399;21399;2165;1246
112249;112249;7312;10248
36583;36583;6195;3453
23988;23988;5369;908
39593;39593;9028;1838
15922;15922;1910;1476
27867;27867;2494;2667
14254;14254;1987;1100
14123;14123;3644;800
43615;43615;6640;3994
54984;54984;7880;9293
14089;14089;2239;1133
12202;12202;3562;939
37631;37631;2657;1996
13665;13665;2777;645
77483;77483;9859;4759
49129;49129;7531;7964
46365;46365;2071;2837
64452;64452;7183;4618
65874;65874;18685;4141
38440;38440;3137;3751
103459;103459;10447;6455
18495;18495;2944;1500
31223;31223;4480;2895
25764;25764;5222;1504
9974;9974;1584;438
17185;17185;2968;822
16310;16310;3551;1367
88787;88787;4865;13410
53926;53926;7736;3729
662047;662047;26735;89408
15904;15904;2311;1379
87966;87966;11325;7233
34803;34803;9044;2633
115092;115092;16561;8117
65676;65676;13473;7719
13473;13473;3040;1518
24105;24105;3779;1680
276700;276700;7719;31795
22539;22539;2300;2211
31214;31214;3779;3500
82231;82231;9406;10934
399843;399843;13047;21086
24324;24324;1388;2266
223510;223510;6455;38367
111064;111064;13755;16655
11861;11861;1685;554
20949;20949;3532;774
29605;29605;2529;2465
22380;22380;3740;1152
49756;49756;12791;6192
64742;64742;17119;4380
143293;143293;41167;27252
14798;14798;1430;949
80321;80321;10880;5258
41475;41475;4884;3813
164875;164875;7917;11418
70713;70713;10126;2644
18097;18097;3234;2042
13183;13183;1241;1521
24843;24843;2988;3990
69423;69423;3467;2714
117755;117755;2812;2113
116320;116320;4344;5975
51335;51335;2172;2268
33489;33489;2301;590
8547;8547;208;1668
19715;19715;892;1302
3072149;3072149;23647;41256
155032;155032;14927;2939
97470;97470;2855;3472
843746;843746;9412;9084
179727;179727;24003;10592
38381;38381;1333;1748
167517;167517;7934;2359
160026;160026;2158;2183
20749;20749;719;1911
24209;24209;1209;1728
38386;38386;1552;3076
153406;153406;12442;18160
33948;33948;1802;3535
12600;12600;1227;904
5744;5744;1203;1144
25357;25357;1421;1644
14117;14117;1161;1340
23546;23546;1792;2903
17609;17609;2202;1620
24046;24046;3076;1341
8571;8571;2525;353
25603;25603;1577;2020
20336;20336;3449;1813
82148;82148;4515;8077
53247;53247;12195;6204
50866;50866;8182;4419
19526;19526;2549;1355
9210;9210;1340;1251
15341;15341;1045;1798
18723;18723;1935;1655
86014;86014;13749;7803
17771;17771;3399;1253
11642;11642;2242;512
88068;88068;4140;6256
16464;16464;4395;1148
37331;37331;3081;3140
23587;23587;2712;2639
30353;30353;6368;1687
14300;14300;843;3641
34233;34233;1732;3620
13249;13249;1712;761
18418;18418;1650;1241
84278;84278;5025;7479
22781;22781;1972;1630
8559;8559;1333;636
17774;17774;2504;1586
12580;12580;1190;517
14492;14492;2097;1012
13628;13628;2233;1996
22486;22486;2998;1324
52828;52828;15442;3278
14243;14243;2976;408
16140;16140;2342;1020
40443;40443;9166;5657
51979;51979;1816;3874
10254;10254;1223;938
9245;9245;1568;360
9955;9955;1969;772
8608;8608;1946;194
28790;28790;3104;1831
10209;10209;3098;312
26445;26445;1656;734
11303;11303;2052;1105
25614;25614;4314;1706
20229;20229;817;1092
54469;54469;3992;5584
9539;9539;1913;543
361474;361474;9593;67465
18195;18195;1942;917
29329;29329;2559;2530
83529;83529;24788;5063
10996;10996;1282;653
8261;8261;1034;249
115071;115071;6347;25870
15757;15757;1739;1213
17119;17119;2189;1535
11499;11499;1058;428
45629;45629;1139;3836
16192;16192;2158;759
157715;157715;10222;15978
67165;67165;7136;4413
8741;8741;880;594
21139;21139;3345;1615
1443741;1443741;224236;230005
1208;1208;218;696
35100;35100;3535;2884
203171;203171;7477;5412
40554;40554;6532;1522
18804;18804;1386;1866
948816;948816;186828;83621
27507;27507;500;733
156299;156299;32368;8200
799407;799407;21587;25216
26453;26453;3006;2040
126518;126518;1028;1320
142361;142361;2564;3413
17945;17945;570;1249
661645;661645;14499;15027
129461;129461;8549;7366
58309;58309;4293;1046
33828;33828;1012;1028
9519338;9519338;277285;439619
123109;123109;12747;10157
247289;247289;47829;43962
17130;17130;1828;1053
86265;86265;2208;2147
210554;210554;18316;8078
9449;9449;563;277
12853;12853;1068;1003
401762;401762;17946;12678
124279;124279;13007;15534
92033;92033;11175;4502
2846289;2846289;221931;260368
248399;248399;46807;45034
20824;20824;1098;782
1545387;1545387;172987;82148
1223499;1223499;82701;100318
53234;53234;11194;3551
1709434;1709434;201764;120118
2813833;2813833;39275;40187
776733;776733;95882;265227
563598;563598;50068;32254
246681;246681;11024;7856
707161;707161;147568;147218
399347;399347;10426;20030
1682585;1682585;100052;218795
255602;255602;32934;14302
163256;163256;4762;4197
3555;3555;591;294
44301;44301;1032;1316
394542;394542;75065;24148
458614;458614;40317;15917
446997;446997;35589;19427
78930;78930;13286;7156
56039;56039;4898;3466
13022;13022;733;364
368021;368021;15305;11311
54501;54501;3363;1751
753197;753197;81707;37983
168660;168660;24584;35784
60219;60219;9577;8751
363857;363857;108241;65029
14966;14966;886;2145
487967;487967;129675;134867
9898;9898;466;335
4517;4517;114;127
5998;5998;640;456
291288;291288;31940;56164
16242;16242;503;763
2231;2231;123;296
9322;9322;3128;671
8400;8400;1119;263
3663;3663;314;192
5518;5518;524;544
3503;3503;400;133
27834;27834;2390;860
554636;554636;101729;257399
1844;1844;342;56
175766;175766;65866;30529
41659;41659;3781;4438
19872;19872;7571;856
516929;516929;12054;14311
46145;46145;3280;2117
43791;43791;5947;2008
4757;4757;1779;3891
12442;12442;887;456
13956;13956;350;973
790;790;63;44
7862;7862;437;418
1577;1577;55;71
527056;527056;148922;78320
1622;1622;109;108
8011;8011;238;313
7812;7812;2065;252
43941;43941;1203;2331
251494;251494;21055;13028
15207;15207;577;424
6087;6087;248;635
20504;20504;848;890
116255;116255;2293;1224
831;831;66;56
13184;13184;1753;415
23830;23830;1490;668
33432;33432;2175;1513
27171;27171;1246;1029
20311;20311;1312;1093
3742;3742;495;325
14523;14523;4949;763
4480;4480;220;313
14872;14872;828;7166
14483;14483;437;735
141472;141472;5988;4112
5986;5986;313;515
12413;12413;1144;1036
19690;19690;560;1784
5917;5917;780;355
558;558;73;47
6594;6594;207;1420
2747;2747;251;133
23548;23548;904;3634
20555;20555;4733;1471
4926;4926;617;115
180936;180936;28420;13830
9841;9841;296;489
882567;882567;83331;108586
857183;857183;52794;127333
182193;182193;42382;18849
155071;155071;39026;28126
824008;824008;97824;72029
259088;259088;22221;27955
136364;136364;44583;15803
109091;109091;23207;9194
126697;126697;12286;12457
500265;500265;35272;59522
156638;156638;16045;9328
572059;572059;69914;481095
217955;217955;6938;19648
22259;22259;4697;1563
148217;148217;3243;5849
26088;26088;4811;2394
476230;476230;15729;8132
1623018;1623018;176138;104317
13017;13017;1948;806
141627;141627;12824;7772
118085;118085;8416;3582
140814;140814;40775;10437
251377;251377;7835;18010
56513;56513;5743;4895
32209;32209;3363;2165
13827;13827;1683;586
778879;778879;23920;81670
294410;294410;13088;25110
49832;49832;6996;2821
11057;11057;451;567
45087;45087;9051;4260
14437;14437;3397;1091
10576;10576;1937;733
13332;13332;1476;686
13327;13327;1706;1610
26938;26938;2966;1469
36210;36210;4391;2543
130802;130802;14366;7329
87366;87366;3076;2615
998948;998948;50554;101278
18564;18564;3626;957
112947;112947;5671;9049
46755;46755;4320;2971
12902;12902;3094;719
7022;7022;908;458
210528;210528;29578;21383
440888;440888;20412;13572
239452;239452;5919;22968
34450;34450;5872;2546
7021;7021;1221;616
18733;18733;2005;1084
264002;264002;28766;15732
258916;258916;13197;9334
126731;126731;15995;19033
2253362;2253362;71144;131606
57663;57663;12291;3406
170498;170498;6961;12907
35910;35910;3356;1675
896344;896344;62047;175206
172493;172493;39361;19657
1131184;1131184;53132;77415
344765;344765;59960;20536
921482;921482;57950;55054
483924;483924;31577;17593
70423;70423;8419;3108
123135;123135;23389;12538
192695;192695;26165;9526
117743;117743;28512;7372
325957;325957;18928;32161
365196;365196;91153;55602
53345;53345;6733;4198
34844;34844;4672;2267
19256;19256;895;869
13442;13442;2120;2192
443343;443343;35910;13446
22863;22863;6417;1187
40601;40601;5890;5298
20973;20973;3657;2657
17419;17419;2144;1871
7609;7609;1350;987
10103;10103;1343;926
4074;4074;1011;298
44700;44700;3485;5161
14422;14422;5207;2226
46144;46144;14865;4806
76019;76019;15248;11799
17484;17484;1543;2474
16235;16235;3241;1424
153887;153887;9077;30796
11666;11666;2116;1308
14629;14629;4307;380
16450;16450;3483;994
23417;23417;8192;1934
55983;55983;5457;5069
22243;22243;3422;2341
19522;19522;4391;2189
6320;6320;1031;917
43664;43664;4638;3571
9577;9577;1455;756
87268;87268;15119;10795
53282;53282;19535;6088
10282;10282;1773;810
232048;232048;6247;28543
14882;14882;3025;7776
25470;25470;3789;1739
141903;141903;47751;14478
101489;101489;9176;27149
3357;3357;620;210
236517;236517;69546;54349
6878;6878;500;840
607751;607751;145303;118229
37413;37413;1904;3590
42053;42053;4090;2110
89288;89288;29245;11665
15771;15771;2661;1786
89215;89215;22749;9638
12495;12495;4391;431
21996;21996;1782;2353
15154;15154;4620;1254
15999;15999;5284;2491
28240;28240;2449;2984
665865;665865;190783;164463
19171;19171;2546;1419
11525;11525;1759;1545
96065;96065;3658;20740
92174;92174;29252;15491
12354;12354;1439;1633
3754;3754;1412;97
37535;37535;11483;2173
20511;20511;2338;1524
21837;21837;2327;1655
10495;10495;1393;1461
19798;19798;3258;1543
91263;91263;28217;18059
90565;90565;7179;9090
98407;98407;30170;21470
20285;20285;4078;4239
816006;816006;119111;451814
23456;23456;3884;1708
2556;2556;792;167
67568;67568;1991;7727
44104;44104;6820;6216
23659;23659;4334;1178
14406;14406;1743;1727
588448;588448;140648;115082
35902;35902;5174;4184
139277;139277;18676;18972
10076;10076;1839;475
25690;25690;6011;2100
23695;23695;8937;2467
22997;22997;3491;2136
