id,address,match,matchtype,parsed,coordinate,tigerlineid,side,statefp,countyfp,tract,block
22,"4927 S MARTIN LUTHER KING DR, CHICAGO, IL, 60615",Match,Exact,"4927 S DR MARTIN LUTHER KING JR DR, CHICAGO, IL, 60615","-87.616142433768,41.805239999244",111770690,L,17,031,381900,2003
23,"4523 S EVANS AVE, CHICAGO, IL, 60653",Match,Exact,"4523 S EVANS AVE, CHICAGO, IL, 60653","-87.608185831112,41.812601953534",605499311,L,17,031,836000,3013
24,"4143 S WABASH AVE, CHICAGO, IL, 60653",Match,Exact,"4143 S WABASH AVE, CHICAGO, IL, 60653","-87.624647644609,41.819347919061",111770447,L,17,031,380600,3009
25,"535 W 62ND ST, CHICAGO, IL, 60621",Match,Exact,"535 W 62ND ST, CHICAGO, IL, 60621","-87.638420048578,41.781662839884",111830330,L,17,031,834600,1064
26,"641 E PERSHING RD, CHICAGO, IL, 60653",Match,Exact,"641 E PERSHING RD, CHICAGO, IL, 60653","-87.611472361508,41.823841240029",111770732,R,17,031,380100,1003
27,"2345 N GENEVA TERRACE, CHICAGO, IL, 60614",Match,Exact,"2345 N GENEVA TER, CHICAGO, IL, 60614","-87.643809714967,41.924996385586",605242596,R,17,031,071300,2000
28,"689 N MILWAUKEE AVE, CHICAGO, IL, 60642",Match,Exact,"689 N MILWAUKEE AVE, CHICAGO, IL, 60642","-87.652165625592,41.894217946359",111767656,R,17,031,243500,2016
29,"1220 W CORNELIA AVE, CHICAGO, IL, 60657",Match,Exact,"1220 W CORNELIA AVE, CHICAGO, IL, 60657","-87.659662918637,41.945367750576",111762298,R,17,031,061500,1007
30,"5200 W FULLERTON AVE, CHICAGO, IL, 60639",Match,Exact,"5200 W FULLERTON AVE, CHICAGO, IL, 60639","-87.756226382899,41.924161576009",111753501,R,17,031,190702,3020
31,"1728 W FULTON ST, CHICAGO, IL, 60612",Match,Exact,"1728 W FULTON ST, CHICAGO, IL, 60612","-87.670197190242,41.886935947444",111765117,R,17,031,280400,1009
10,"3650 S DEARBORN ST, CHICAGO, IL, 60609",No_Match
11,"3241 S CALUMET AVE, CHICAGO, IL, 60616",Match,Exact,"3241 S CALUMET AVE, CHICAGO, IL, 60616","-87.618137461789,41.835826627389",111770179,L,17,031,839500,1002
13,"2110 S FEDERAL ST, CHICAGO, IL, 60616",No_Match
14,"1853 W TAYLOR ST, CHICAGO, IL, 60612",Match,Exact,"1853 W TAYLOR ST, CHICAGO, IL, 60612","-87.672621779358,41.869115181253",111802502,L,17,031,838200,2015
15,"801 E 63RD ST, CHICAGO, IL, 60637",Match,Exact,"801 E 63RD ST, CHICAGO, IL, 60637","-87.605854432538,41.780355866137",111771393,R,17,031,420800,1003
16,"2958 SO STATE ST, CHICAGO, IL, 60616",Match,Exact,"2958 S STATE ST, CHICAGO, IL, 60616","-87.626914372869,41.840537036163",111829037,R,17,031,350400,1003
17,"459 N HALSTED ST, CHICAGO, IL, 60661",Match,Exact,"459 N HALSTED ST, CHICAGO, IL, 60661","-87.647683598362,41.88920263357",605838267,L,17,031,243500,2044
18,"912 MADISON ST, CHICAGO, IL, 60607",Match,Non_Exact,"912 W MADISON ST, CHICAGO, IL, 60607","-87.650241812369,41.881824324184",605014638,R,17,031,833000,1045
19,"29 W 47TH ST, CHICAGO, IL, 60609",Match,Exact,"29 W 47TH ST, CHICAGO, IL, 60609","-87.627493369905,41.809154092239",111830563,L,17,031,381700,1000
1,"1300 S PEORIA ST, CHICAGO, IL, 60608",No_Match
2,"3517 S RHODES AVE, CHICAGO, IL, 60653",Match,Exact,"3517 S RHODES AVE, CHICAGO, IL, 60653","-87.614397339752,41.830600160223",605538307,L,17,031,351100,1000
3,"59 W GRAND AVE, CHICAGO, IL, 60654",Match,Exact,"59 W GRAND AVE, CHICAGO, IL, 60654","-87.630068404646,41.891584364505",111768663,L,17,031,081700,2026
4,"2055 LAKE ST, CHICAGO, IL, 60612",Match,Non_Exact,"2055 W LAKE ST, CHICAGO, IL, 60612","-87.6780734976,41.884877609051",112386936,L,17,031,837800,2013
5,"1414 S PEORIA ST, CHICAGO, IL, 60608",Match,Exact,"1414 S PEORIA ST, CHICAGO, IL, 60608","-87.648914441391,41.862168859723",618344912,R,17,031,841900,2033
6,"4944 S WENTWORTH AVE, CHICAGO, IL, 60609",No_Match
7,"1226 LARRABEE ST, CHICAGO, IL, 60610",Match,Non_Exact,"1226 N LARRABEE ST, CHICAGO, IL, 60610","-87.643306886859,41.904037337767",111767710,L,17,031,842200,1042
8,"2945 S INDIANA AVE, CHICAGO, IL, 60616",No_Match
9,"3255 S WENTWORTH AVE, CHICAGO, IL, 60616",No_Match
20,"1414 W 14TH ST, CHICAGO, IL, 60608",Match,Non_Exact,"1414 W 14TH PL, CHICAGO, IL, 60608","-87.656499993882,41.862453854853",111802984,R,17,031,283800,2003
21,"6712 S RHODES AVE, CHICAGO, IL, 60637",Match,Exact,"6712 S RHODES AVE, CHICAGO, IL, 60637","-87.611902182725,41.772766812109",111772390,R,17,031,421200,1006
44,"3232 S WENTWORTH AVE, CHICAGO, IL, 60616",Match,Exact,"3232 S WENTWORTH AVE, CHICAGO, IL, 60616","-87.631702475054,41.835754279357",111828803,R,17,031,340500,1028
45,"205 S SPRING AVE, LA GRANGE, IL, 60525",Match,Exact,"205 S SPRING AVE, LA GRANGE, IL, 60525","-87.875600471828,41.810416791885",111790067,L,17,031,819700,3017
46,"6148 S RACINE AVE, CHICAGO, IL, 60636",Match,Exact,"6148 S RACINE AVE, CHICAGO, IL, 60636","-87.654649007335,41.782355488778",111806031,R,17,031,670900,1010
47,"830 HARRISON ST, CHICAGO, IL, 60304",Match,Non_Exact,"830 W HARRISON ST, CHICAGO, IL, 60607","-87.648336000761,41.874427600464",605016377,R,17,031,841900,1026
48,"294 S LA SALLE ST, CHICAGO, IL, 60604",Match,Exact,"294 S LA SALLE ST, CHICAGO, IL, 60604","-87.632336171563,41.878217550465",111769558,R,17,031,839100,1096
49,"1523 W 13TH ST, CHICAGO, IL, 60608",Match,Exact,"1523 W 13TH ST, CHICAGO, IL, 60608","-87.665881107029,41.865031441778",645573940,R,17,031,842900,1002
50,"1700 S PAULINA ST, CHICAGO, IL, 60608",Match,Exact,"1700 S PAULINA ST, CHICAGO, IL, 60608","-87.66875472353,41.858609799472",605098805,R,17,031,310800,1004
51,"1001 W BELMONT AVE, CHICAGO, IL, 60657",Match,Exact,"1001 W BELMONT AVE, CHICAGO, IL, 60657","-87.654790165116,41.939842972211",605215182,L,17,031,062900,1001
52,"9124 S BRANDON AVE, CHICAGO, IL, 60617",Match,Exact,"9124 S BRANDON AVE, CHICAGO, IL, 60617","-87.546999829314,41.729771266335",605531543,R,17,031,461000,1013
53,"7748 W 62ND ST, SUMMIT, IL, 60501",Match,Exact,"7748 W 62ND ST, SUMMIT, IL, 60501","-87.814738879554,41.778892115696",605289967,R,17,031,820400,1010
32,"1323 W ERIE ST, CHICAGO, IL, 60642",Match,Exact,"1323 W ERIE ST, CHICAGO, IL, 60642","-87.660455089217,41.893389692677",111765419,L,17,031,243400,3000
54,"1426 S WABASH AVE, CHICAGO, IL, 60605",Match,Exact,"1426 S WABASH AVE, CHICAGO, IL, 60605","-87.625817370842,41.863605356558",638709385,R,17,031,330102,3003
33,"6239 S MOODY AVE, CHICAGO, IL, 60638",Match,Exact,"6239 S MOODY AVE, CHICAGO, IL, 60638","-87.775128993971,41.779081402332",605292633,L,17,031,640300,6019
55,"1023 W MADISON ST, CHICAGO, IL, 60607",Match,Exact,"1023 W MADISON ST, CHICAGO, IL, 60607","-87.652243505793,41.881641851327",618885949,L,17,031,833100,3000
34,"32 E 69TH ST, CHICAGO, IL, 60637",Match,Exact,"32 E 69TH ST, CHICAGO, IL, 60637","-87.623922781405,41.76923488727",605520644,L,17,031,690400,4011
56,"3506 S WENTWORTH AVE, CHICAGO, IL, 60609",Match,Exact,"3506 S WENTWORTH AVE, CHICAGO, IL, 60609","-87.631574208587,41.830778695225",111828822,R,17,031,340600,1007
35,"55 E 69TH ST, CHICAGO, IL, 60637",Match,Exact,"55 E 69TH ST, CHICAGO, IL, 60637","-87.622156774732,41.769149962203",605543192,R,17,031,690400,3002
57,"1928 W DIVISION ST, CHICAGO, IL, 60622",Match,Exact,"1928 W DIVISION ST, CHICAGO, IL, 60622","-87.675968100496,41.903269168084",605067470,R,17,031,241400,4011
36,"120 N LEAVITT ST, CHICAGO, IL, 60612",Match,Exact,"120 N LEAVITT ST, CHICAGO, IL, 60612","-87.681666692852,41.883729788165",605091052,L,17,031,837800,1013
58,"7802 S ASHLAND AVE, CHICAGO, IL, 60620",Match,Exact,"7802 S ASHLAND AVE, CHICAGO, IL, 60620","-87.663555990315,41.75206811472",604997116,R,17,031,710400,2011
37,"4121 S WENTWORTH AVE, CHICAGO, IL, 60609",No_Match
59,"840 W MAXWELL ST, CHICAGO, IL, 60608",Match,Exact,"840 W MAXWELL ST, CHICAGO, IL, 60608","-87.647244257706,41.864831421481",642122872,R,17,031,841900,2031
38,"2336 W MADISON ST, CHICAGO, IL, 60612",Match,Non_Exact,"2336 MADISON ST, CHICAGO, IL, 60612","-87.684892187938,41.881277799606",618885987,R,17,031,837800,1025
39,"558 E 50TH ST, CHICAGO, IL, 60615",Match,Exact,"558 E 50TH ST, CHICAGO, IL, 60615","-87.61183972735,41.804047149112",111771203,L,17,031,381900,1000
60,"1620 W FULTON ST, CHICAGO, IL, 60612",Match,Exact,"1620 W FULTON ST, CHICAGO, IL, 60612","-87.668881262627,41.886952280821",605044377,R,17,031,280400,1008
61,"1013 S NEWBERRY AVE, CHICAGO, IL, 60608",No_Match
40,"5800 S CALUMET AVE, CHICAGO, IL, 60637",Match,Exact,"5800 S CALUMET AVE, CHICAGO, IL, 60637","-87.617540162206,41.789264807398",111771143,R,17,031,400400,2005
41,"29 E GARFIELD BLVD, CHICAGO, IL, 60637",Match,Exact,"29 E GARFIELD BLVD, CHICAGO, IL, 60637","-87.62444631882,41.794269058975",605540065,R,17,031,400500,1007
42,"864 N WELLS ST, CHICAGO, IL, 60610",Match,Exact,"864 N WELLS ST, CHICAGO, IL, 60610","-87.634299327209,41.89711578382",111768425,L,17,031,081800,1011
43,"4532 S RICHMOND AVE, CHICAGO, IL, 60632",Match,Non_Exact,"4532 S RICHMOND ST, CHICAGO, IL, 60632","-87.698047502505,41.811244252337",111803976,R,17,031,842800,6000
66,"3161 S DEARBORN ST, CHICAGO, IL, 60616",No_Match
88,"2735 W 23RD PL, CHICAGO, IL, 60608",Match,Exact,"2735 W 23RD PL, CHICAGO, IL, 60608","-87.693576992141,41.849140579923",605094595,L,17,031,301200,3004
67,"637 W MAXWELL ST, CHICAGO, IL, 60607",Match,Exact,"637 W MAXWELL ST, CHICAGO, IL, 60607","-87.645412531979,41.864748570566",111856555,L,17,031,841900,2037
89,"4942 S JUSTINE ST, CHICAGO, IL, 60609",Match,Exact,"4942 S JUSTINE ST, CHICAGO, IL, 60609","-87.663707346742,41.804067561637",111805256,R,17,031,611200,2005
68,"307 E 43RD ST, CHICAGO, IL, 60653",Match,Exact,"307 E 43RD ST, CHICAGO, IL, 60653","-87.619469494024,41.816535860675",111770602,R,17,031,835800,1004
69,"551 W 14TH PL, CHICAGO, IL, 60607",Match,Exact,"551 W 14TH PL, CHICAGO, IL, 60607","-87.641090618176,41.862374485682",604916803,L,17,031,841900,2043
90,"1731 N MILWAUKEE AVE, CHICAGO, IL, 60647",Match,Exact,"1731 N MILWAUKEE AVE, CHICAGO, IL, 60647","-87.681472520724,41.913045206487",636324625,L,17,031,831000,1002
91,"2320 S STATE ST, CHICAGO, IL, 60616",Match,Exact,"2320 S STATE ST, CHICAGO, IL, 60616","-87.627110658958,41.850657062405",639788490,R,17,031,841000,1029
70,"2964 S STATE ST, CHICAGO, IL, 60616",Match,Exact,"2964 S STATE ST, CHICAGO, IL, 60616","-87.626910856203,41.840396368921",111829037,R,17,031,350400,1003
71,"3223 S WENTWORTH AVE, CHICAGO, IL, 60616",No_Match
72,"2035 W LAKE ST, CHICAGO, IL, 60612",Match,Exact,"2035 W LAKE ST, CHICAGO, IL, 60612","-87.677606200935,41.884894863058",112386936,L,17,031,837800,2013
73,"607 E 47TH ST, CHICAGO, IL, 60653",Match,Exact,"607 E 47TH ST, CHICAGO, IL, 60653","-87.610068342917,41.809425861375",111770953,R,17,031,843600,2011
74,"840 S HALSTED ST, CHICAGO, IL, 60607",Match,Exact,"840 S HALSTED ST, CHICAGO, IL, 60607","-87.647206865546,41.871578358535",111827325,R,17,031,841900,1043
